,lat,lon,speed,lon_acc,lat_acc,time,dist_to_start,dist_to_end,veh_id,segment_id,temp_distance,one_axis_trajectory,closest_traffic_light,distance_to_traffic_light,normalized_trajectory,closest_cell
0,37.979949,23.735613,29.3152,-0.179,-0.0253,0.0,9.254830559804851,459.67865708024215,32.0,1.0,3.1907656347520064,2642236.3528262046,0,43.220860702893624,63.43743934838297,cell_1
1,37.979946,23.735615,29.291,-0.1578,-0.0291,0.04,9.58699606488798,459.3033556977948,32.0,1.0,3.224026738017244,2642236.575465186,0,43.597099780802104,63.91621247517026,cell_1
2,37.979944,23.735617,29.2684,-0.1552,-0.0329,0.08,9.857970726046618,459.030760191814,32.0,1.0,3.1882556667401363,2642236.798104168,0,43.87334806862851,64.39498560295893,cell_1
3,37.979941,23.735619,29.2469,-0.1446,-0.0366,0.12,10.194706108895346,458.6554670114739,32.0,1.0,3.221516771774076,2642237.0207431493,0,44.249611122286616,64.87375872974621,cell_2
4,37.979939,23.735621,29.2288,-0.1061,-0.0403,0.16,10.467632191267294,458.3828900198677,32.0,1.0,3.1857457001435048,2642237.2433821307,0,44.52596488170158,65.3525318565335,cell_2
5,37.979936,23.735623,29.2183,-0.0398,-0.044,0.2,10.808219579101596,458.0076050881031,32.0,1.0,3.219006803055968,2642237.4660211126,0,44.90225012826304,65.83130498432216,cell_2
6,37.979934,23.735625,29.2188,0.0464,-0.0476,0.24,11.08273880010311,457.7350466783939,32.0,1.0,3.183235731780241,2642237.688660094,0,45.17870553423748,66.31007811110945,cell_2
7,37.979931,23.735627,29.2303,0.1141,-0.0512,0.28,11.426601729659518,457.3597700400059,32.0,1.0,3.216496835046168,2642237.9112990755,0,45.55501131593267,66.78885123789674,cell_2
8,37.979929,23.735629,29.2502,0.1618,-0.0548,0.32,11.702431958348711,457.0872302816502,32.0,1.0,3.18072576518499,2642238.133938057,0,45.83156473387645,67.26762436468402,cell_2
9,37.979927,23.735631,29.2769,0.2096,-0.0584,0.36,11.97860470395682,456.81470345491334,32.0,1.0,3.144954693201644,2642238.3565770388,0,46.10819782693772,67.74639749247268,cell_2
10,37.979924,23.735633,29.3106,0.2573,-0.062,0.4,12.326019918339846,456.4394409444184,32.0,1.0,3.1782157971731197,2642238.57921602,0,46.48453748539177,68.22517061925997,cell_2
11,37.979922,23.735635,29.3525,0.325,-0.0656,0.44,12.603214739864686,456.1669328789814,32.0,1.0,3.142444726251548,2642238.8018550016,0,46.761262910470535,68.70394374604726,cell_2
12,37.979919,23.735636,29.4042,0.3926,-0.0692,0.48,12.886643632489855,455.82517680697424,32.0,1.0,3.262623539696648,2642238.9131744923,0,47.098876661900384,68.9433303094409,cell_2
13,37.979917,23.735638,29.3987,0.1307,-0.049,0.52,13.16492722719541,455.5526738816675,32.0,1.0,3.226852468066766,2642239.1358134747,0,47.37559175939776,69.42210343823095,cell_2
14,37.979914,23.73564,29.4196,0.1603,-0.0527,0.56,13.517250442912404,455.17742209608946,32.0,1.0,3.2601135720389327,2642239.358452456,0,47.75194599945604,69.90087656501824,cell_2
15,37.979912,23.735642,29.4449,0.1905,-0.0564,0.6,13.796230724533231,454.904938038956,32.0,1.0,3.224342501468753,2642239.5810914375,0,48.028749321637136,70.37964969180553,cell_2
16,37.979909,23.735644,29.4755,0.2352,-0.0601,0.64,14.150285296185984,454.5296947343925,32.0,1.0,3.25760360544299,2642239.8037304194,0,48.40511871648955,70.85842281959418,cell_2
17,37.979907,23.735646,29.5133,0.2891,-0.0638,0.68,14.429854280026216,454.2572296155533,32.0,1.0,3.2218325334589535,2642240.026369401,0,48.68200730819753,71.33719594638147,cell_2
18,37.979904,23.735648,29.5591,0.3472,-0.0674,0.72,14.78543632910982,453.8819948390276,32.0,1.0,3.2550936374311203,2642240.249008382,0,49.05839068517711,71.81596907316876,cell_2
19,37.979902,23.73565,29.6135,0.4079,-0.071,0.76,15.065505167095962,453.60954872982006,32.0,1.0,3.2193225658012388,2642240.4716473636,0,49.33536173081574,72.29474219995605,cell_2
20,37.979899,23.735652,29.6761,0.4617,-0.0747,0.8,15.422442089562251,453.2343225285335,32.0,1.0,3.252583668715083,2642240.6942863455,0,49.7117579911037,72.7735153277447,cell_2
21,37.979897,23.735654,29.7459,0.5078,-0.0783,0.84,15.702937192691516,452.9618954984749,32.0,1.0,3.21681259955738,2642240.916925327,0,49.9888088079183,73.25228845453199,cell_2
22,37.979894,23.735656,29.8221,0.5517,-0.0819,0.88,16.061081897886915,452.5866779200466,32.0,1.0,3.2500737021177595,2642241.1395643083,0,50.36521692830376,73.73106158131928,cell_3
23,37.979892,23.735658,29.9044,0.5904,-0.0852,0.92,16.34194193451411,452.3142700410987,32.0,1.0,3.2143026315475813,2642241.36220329,0,50.64234495615008,74.20983470910795,cell_3
24,37.979889,23.73566,29.992,0.6272,-0.0884,0.96,16.701168302387895,451.9390611332119,32.0,1.0,3.247563735520438,2642241.5848422716,0,51.01876397348323,74.68860783589523,cell_3
25,37.979887,23.735662,30.0849,0.6622,-0.0912,1.0,16.98234186236657,451.6666724772189,32.0,1.0,3.211792664596794,2642241.8074812535,0,51.29596676881103,75.1673809636839,cell_3
26,37.979884,23.735664,30.1819,0.685,-0.0939,1.04,17.342541130162545,451.29147228797865,32.0,1.0,3.2450537675106386,2642242.030120235,0,51.67239578177602,75.64615409047119,cell_3
27,37.979882,23.735666,30.2817,0.702,-0.0963,1.08,17.623984887592236,451.0191029278935,32.0,1.0,3.20928269693977,2642242.2527592164,1,51.56433852594173,76.12492721725846,cell_3
28,37.979879,23.735668,30.3839,0.7168,-0.0984,1.12,17.98506275610277,450.64391150486176,32.0,1.0,3.2425438009126255,2642242.4753981982,1,51.190553255901634,76.60370034504713,cell_3
29,37.979876,23.73567,30.4884,0.7352,-0.1003,1.16,18.34677451075724,450.268722830336,32.0,1.0,3.275804904179244,2642242.6980371797,1,50.81680814166613,77.08247347183442,cell_3
30,37.979874,23.735672,30.5959,0.757,-0.102,1.2,18.628614311386553,449.9963789057946,32.0,1.0,3.2400338325486717,2642242.9206761615,1,50.53424459519015,77.56124659962309,cell_3
31,37.979871,23.735674,30.706,0.7721,-0.1034,1.24,18.991070667151725,449.62119906573145,32.0,1.0,3.2732949361694454,2642243.143315143,1,50.16052458966451,78.04001972641038,cell_3
32,37.979869,23.735676,30.8178,0.7814,-0.1046,1.28,19.27309262696543,449.34887461121224,32.0,1.0,3.2375238652451115,2642243.3659541244,1,49.87795120404588,78.51879285319767,cell_3
