,inflow,time,link_id
16650,1,42.04,4
16651,1,42.08,4
17423,1,29.12,4
17424,1,29.16,4
17425,1,29.2,4
17426,1,29.24,4
17427,1,29.28,4
17428,1,29.32,4
17429,1,29.36,4
17430,1,29.4,4
17431,1,29.44,4
18322,1,31.04,4
18323,1,31.08,4
19290,1,33.92,4
19291,1,33.96,4
19292,1,34.0,4
19293,1,34.04,4
19294,1,34.08,4
19295,1,34.12,4
20064,1,26.44,4
20065,1,26.48,4
20066,1,26.52,4
20067,1,26.56,4
20068,1,26.6,4
20069,1,26.64,4
20070,1,26.68,4
20071,1,26.72,4
20072,1,26.76,4
20073,1,26.8,4
20074,1,26.84,4
20075,1,26.88,4
20695,1,21.44,4
20696,1,21.48,4
20697,1,21.52,4
20698,1,21.56,4
21749,1,38.96,4
21750,1,39.0,4
21751,1,39.04,4
21752,1,39.08,4
21753,1,39.12,4
21754,1,39.16,4
21755,1,39.2,4
21756,1,39.24,4
21757,1,39.28,4
21758,1,39.32,4
21759,1,39.36,4
21760,1,39.4,4
22731,1,36.36,4
22732,1,36.4,4
22733,1,36.44,4
22734,1,36.48,4
22735,1,36.52,4
22736,1,36.56,4
22737,1,36.6,4
22738,1,36.64,4
23682,1,34.6,4
23683,1,34.64,4
23684,1,34.68,4
23685,1,34.72,4
23686,1,34.76,4
23687,1,34.8,4
23688,1,34.84,4
23689,1,34.88,4
23690,1,34.92,4
25314,1,60.04,4
25315,1,60.08,4
25316,1,60.12,4
25317,1,60.16,4
25318,1,60.2,4
25319,1,60.24,4
25320,1,60.28,4
25321,1,60.32,4
25322,1,60.36,4
25323,1,60.4,4
25324,1,60.44,4
26946,1,63.0,4
26947,1,63.04,4
26948,1,63.08,4
26949,1,63.12,4
26950,1,63.16,4
26951,1,63.2,4
26952,1,63.24,4
26953,1,63.28,4
26954,1,63.32,4
26955,1,63.36,4
26956,1,63.4,4
27895,1,35.24,4
27896,1,35.28,4
27897,1,35.32,4
27898,1,35.36,4
27899,1,35.4,4
27900,1,35.44,4
27901,1,35.48,4
27902,1,35.52,4
27903,1,35.56,4
27904,1,35.6,4
29624,2,62.32,4
29625,2,62.36,4
29626,1,62.4,4
29627,1,62.44,4
29628,1,62.48,4
29629,1,62.52,4
29630,1,62.56,4
29631,1,62.6,4
29632,1,62.64,4
29633,1,62.68,4
29634,1,62.72,4
29635,1,62.76,4
29636,1,62.8,4
29637,1,62.84,4
29638,1,62.88,4
29639,1,62.92,4
31291,1,64.52,4
31292,1,64.56,4
31293,1,64.6,4
31294,1,64.64,4
31295,1,64.68,4
31296,1,64.72,4
31297,1,64.76,4
31298,1,64.8,4
31299,1,64.84,4
31300,1,64.88,4
31301,1,64.92,4
31302,1,64.96,4
31303,1,65.0,4
31304,1,65.04,4
31305,1,65.08,4
31306,1,65.12,4
32992,1,65.64,4
32993,1,65.68,4
32994,1,65.72,4
32995,1,65.76,4
32996,1,65.8,4
32997,1,65.84,4
32998,1,65.88,4
32999,1,65.92,4
33000,1,65.96,4
33001,1,66.0,4
33002,1,66.04,4
33003,1,66.08,4
33004,1,66.12,4
33005,1,66.16,4
33006,1,66.2,4
33007,1,66.24,4
33008,1,66.28,4
33009,1,66.32,4
33010,1,66.36,4
33988,1,37.64,4
33989,1,37.68,4
33990,1,37.72,4
33991,1,37.76,4
33992,1,37.8,4
33993,1,37.84,4
33994,1,37.88,4
33995,1,37.92,4
33996,1,37.96,4
33997,1,38.0,4
33998,1,38.04,4
33999,1,38.08,4
34000,1,38.12,4
34001,1,38.16,4
34002,1,38.2,4
34619,1,27.0,4
34620,1,27.04,4
34621,1,27.08,4
34622,1,27.12,4
34623,1,27.16,4
34624,1,27.2,4
34625,1,27.24,4
34626,1,27.28,4
34627,1,27.32,4
34628,1,27.36,4
34629,1,27.4,4
35469,1,30.28,4
35470,1,30.32,4
35471,1,30.36,4
35472,1,30.4,4
35473,1,30.44,4
37092,1,62.16,4
37093,1,62.2,4
37094,1,62.24,4
37095,1,62.28,4
40557,1,63.68,4
40558,1,63.72,4
40559,1,63.76,4
40560,1,63.8,4
40561,1,63.84,4
40562,1,63.88,4
42328,1,66.88,4
42329,1,66.92,4
42337,1,67.24,4
42338,1,67.28,4
42339,1,67.32,4
44474,2,73.04,4
44475,2,73.08,4
44476,2,73.12,4
44477,3,73.16,4
44478,3,73.2,4
44479,3,73.24,4
44480,3,73.28,4
44481,3,73.32,4
48588,1,113.68,4
48589,1,113.72,4
48590,2,113.76,4
48591,2,113.8,4
48592,2,113.84,4
48593,2,113.88,4
48594,2,113.92,4
48595,2,113.96,4
48596,2,114.0,4
48597,1,114.04,4
48598,1,114.08,4
48599,1,114.12,4
48600,1,114.16,4
48601,1,114.2,4
48602,1,114.24,4
48603,1,114.28,4
48604,1,114.32,4
48605,1,114.36,4
48606,1,114.4,4
62335,1,536.96,4
62336,1,537.0,4
62337,1,537.04,4
62338,1,537.08,4
62339,1,537.12,4
62340,1,537.16,4
62341,1,537.2,4
62342,1,537.24,4
62343,1,537.28,4
62344,1,537.32,4
62345,1,537.36,4
62346,1,537.4,4
64934,1,174.44,4
64935,1,174.48,4
64936,1,174.52,4
64937,1,174.56,4
64938,1,174.6,4
64939,1,174.64,4
64940,1,174.68,4
64941,1,174.72,4
64942,1,174.76,4
64943,1,174.8,4
64944,1,174.84,4
64945,1,174.88,4
64946,1,174.92,4
64947,1,174.96,4
64948,1,175.0,4
64949,1,175.04,4
64950,1,175.08,4
64951,1,175.12,4
64952,1,175.16,4
64953,1,175.2,4
64954,1,175.24,4
64955,1,175.28,4
64956,1,175.32,4
64957,1,175.36,4
64958,1,175.4,4
64959,1,175.44,4
64960,1,175.48,4
64961,1,175.52,4
64962,1,175.56,4
64963,1,175.6,4
64964,1,175.64,4
64965,1,175.68,4
64966,1,175.72,4
64967,1,175.76,4
64968,1,175.8,4
64969,1,175.84,4
64970,1,175.88,4
64971,1,175.92,4
64972,1,175.96,4
64973,1,176.0,4
64974,1,176.04,4
64975,1,176.08,4
64976,1,176.12,4
64977,1,176.16,4
64978,1,176.2,4
64979,1,176.24,4
64980,1,176.28,4
64981,1,176.32,4
64982,1,176.36,4
64983,1,176.4,4
64984,1,176.44,4
64985,1,176.48,4
64986,1,176.52,4
64987,1,176.56,4
64988,1,176.6,4
64989,1,176.64,4
64990,1,176.68,4
64991,1,176.72,4
64992,1,176.76,4
64993,1,176.8,4
64994,1,176.84,4
64995,1,176.88,4
64996,1,176.92,4
64997,1,176.96,4
64998,1,177.0,4
64999,1,177.04,4
66155,1,59.08,4
66156,1,59.12,4
66157,1,59.16,4
66158,1,59.2,4
67283,1,71.4,4
67284,1,71.44,4
67285,1,71.48,4
67286,1,71.52,4
67287,1,71.56,4
67288,1,71.6,4
67289,1,71.64,4
69440,1,68.76,4
69441,1,68.8,4
69442,1,68.84,4
69443,1,68.88,4
69444,1,68.92,4
69445,2,68.96,4
69446,2,69.0,4
69447,2,69.04,4
69448,2,69.08,4
69449,2,69.12,4
69450,2,69.16,4
69451,2,69.2,4
69452,2,69.24,4
79800,1,65.16,4
79801,1,65.2,4
79802,1,65.24,4
79803,1,65.28,4
79804,1,65.32,4
79805,1,65.36,4
79806,1,65.4,4
79807,1,65.44,4
79808,1,65.48,4
79809,1,65.52,4
79810,1,65.56,4
79811,1,65.6,4
80731,1,32.8,4
80732,1,32.84,4
81846,1,39.56,4
81847,1,39.6,4
81848,1,39.64,4
81849,1,39.68,4
81850,1,39.72,4
81851,1,39.76,4
81852,1,39.8,4
81853,1,39.84,4
81854,1,39.88,4
81855,1,39.92,4
81856,1,39.96,4
81857,1,40.0,4
81858,1,40.04,4
81859,1,40.08,4
81860,1,40.12,4
81861,1,40.16,4
81862,1,40.2,4
81863,1,40.24,4
81864,1,40.28,4
81865,1,40.32,4
81866,1,40.36,4
81867,1,40.4,4
81868,1,40.44,4
81869,1,40.48,4
83483,2,25.0,4
83484,2,25.04,4
83485,2,25.08,4
83486,1,25.12,4
84287,1,27.92,4
84288,1,27.96,4
84289,1,28.0,4
84290,1,28.04,4
84291,1,28.08,4
84292,1,28.12,4
84293,1,28.16,4
84294,1,28.2,4
84295,1,28.24,4
84296,1,28.28,4
84297,1,28.32,4
84298,1,28.36,4
84299,1,28.4,4
84300,1,28.44,4
84301,1,28.48,4
84302,1,28.52,4
84303,1,28.56,4
84984,1,24.72,4
84985,1,24.76,4
84986,1,24.8,4
84987,1,24.84,4
84988,1,24.88,4
84989,1,24.92,4
84990,1,24.96,4
85548,1,19.2,4
85549,1,19.24,4
85550,1,19.28,4
85551,1,19.32,4
85552,1,19.36,4
85553,1,19.4,4
85554,1,19.44,4
85730,1,2.24,4
85731,1,2.28,4
85732,1,2.32,4
85733,1,2.36,4
85734,1,2.4,4
85735,1,2.44,4
85736,1,2.48,4
85737,1,2.52,4
85738,1,2.56,4
85739,1,2.6,4
85740,1,2.64,4
85741,1,2.68,4
85742,1,2.72,4
85743,1,2.76,4
85744,1,2.8,4
85745,1,2.84,4
87744,2,251.96,4
87745,2,252.0,4
87746,2,252.04,4
87747,2,252.08,4
87748,2,252.12,4
87749,2,252.16,4
87750,2,252.2,4
87751,2,252.24,4
89672,1,70.88,4
89673,1,70.92,4
89674,1,70.96,4
89675,1,71.0,4
89676,1,71.04,4
89677,1,71.08,4
89678,1,71.12,4
89679,1,71.16,4
89680,1,71.2,4
89681,1,71.24,4
89682,1,71.28,4
89683,1,71.32,4
90482,1,20.68,4
90483,1,20.72,4
90484,1,20.76,4
90485,1,20.8,4
92096,1,72.96,4
92097,1,73.0,4
92106,2,73.36,4
93372,2,80.24,4
93373,2,80.28,4
93374,2,80.32,4
93375,1,80.36,4
93376,1,80.4,4
93377,1,80.44,4
93378,1,80.48,4
93379,1,80.52,4
93380,1,80.56,4
93381,1,80.6,4
93382,1,80.64,4
93383,1,80.68,4
93384,1,80.72,4
93385,1,80.76,4
93386,1,80.8,4
93387,1,80.84,4
93388,1,80.88,4
95174,1,69.28,4
97279,1,73.4,4
97280,1,73.44,4
97281,1,73.48,4
97282,1,73.52,4
97283,1,73.56,4
97284,1,73.6,4
97285,1,73.64,4
97286,1,73.68,4
97287,1,73.72,4
97288,1,73.76,4
97289,1,73.8,4
97290,1,73.84,4
98549,1,68.48,4
98550,1,68.52,4
98551,1,68.56,4
98552,1,68.6,4
99747,1,103.96,4
99748,1,104.0,4
99749,1,104.04,4
99750,1,104.08,4
99751,1,104.12,4
99752,1,104.16,4
99753,1,104.2,4
99754,1,104.24,4
99755,1,104.28,4
99756,1,104.32,4
99757,1,104.36,4
100810,1,75.4,4
100811,1,75.44,4
100812,1,75.48,4
100813,1,75.52,4
100814,1,75.56,4
100815,1,75.6,4
100816,1,75.64,4
100817,1,75.68,4
100818,1,75.72,4
100819,1,75.76,4
102155,1,75.92,4
102156,1,75.96,4
102157,1,76.0,4
102158,1,76.04,4
102159,1,76.08,4
102160,1,76.12,4
102161,1,76.16,4
102162,1,76.2,4
102163,1,76.24,4
102164,1,76.28,4
102165,1,76.32,4
102166,1,76.36,4
102167,1,76.4,4
102168,1,76.44,4
102169,1,76.48,4
102170,1,76.52,4
102171,1,76.56,4
102172,1,76.6,4
102173,1,76.64,4
102174,1,76.68,4
103175,1,106.56,4
103176,1,106.6,4
103177,1,106.64,4
103178,2,106.68,4
103179,2,106.72,4
103180,2,106.76,4
103181,2,106.8,4
103182,2,106.84,4
103183,2,106.88,4
103184,2,106.92,4
103185,2,106.96,4
104229,1,76.96,4
104230,1,77.0,4
104231,1,77.04,4
104232,1,77.08,4
104233,1,77.12,4
104234,1,77.16,4
104235,1,77.2,4
104236,1,77.24,4
104237,1,77.28,4
105612,2,79.08,4
105613,2,79.12,4
105614,2,79.16,4
105615,2,79.2,4
105616,2,79.24,4
105617,1,79.28,4
105618,1,79.32,4
105619,1,79.36,4
107629,1,47.32,4
107630,1,47.36,4
107631,1,47.4,4
107632,1,47.44,4
107633,1,47.48,4
107634,1,47.52,4
107635,1,47.56,4
107636,1,47.6,4
107637,1,47.64,4
107638,1,47.68,4
107639,1,47.72,4
107640,1,47.76,4
107641,1,47.8,4
107642,1,47.84,4
107643,1,47.88,4
107644,1,47.92,4
107645,1,47.96,4
107646,1,48.0,4
107647,1,48.04,4
107648,1,48.08,4
107649,1,48.12,4
107650,1,48.16,4
108075,2,51.72,4
108076,2,51.76,4
108077,2,51.8,4
108078,2,51.84,4
108079,2,51.88,4
108080,2,51.92,4
109329,2,82.12,4
109330,2,82.16,4
109331,2,82.2,4
109332,2,82.24,4
109333,2,82.28,4
109334,2,82.32,4
109335,2,82.36,4
109336,2,82.4,4
109337,2,82.44,4
109338,2,82.48,4
109339,2,82.52,4
109340,2,82.56,4
109341,2,82.6,4
109342,1,82.64,4
109343,1,82.68,4
109344,1,82.72,4
110958,1,78.64,4
110959,1,78.68,4
110960,1,78.72,4
110961,1,78.76,4
110962,1,78.8,4
110963,1,78.84,4
110964,1,78.88,4
110965,1,78.92,4
110966,1,78.96,4
110967,1,79.0,4
110968,1,79.04,4
113514,2,105.68,4
113515,2,105.72,4
113516,2,105.76,4
113517,2,105.8,4
113518,2,105.84,4
113519,2,105.88,4
113520,1,105.92,4
113521,1,105.96,4
113522,1,106.0,4
115676,1,117.72,4
115677,1,117.76,4
115678,1,117.8,4
115679,1,117.84,4
115680,1,117.88,4
115681,1,117.92,4
115682,1,117.96,4
115683,1,118.0,4
115684,1,118.04,4
115685,1,118.08,4
115686,1,118.12,4
115687,1,118.16,4
115688,1,118.2,4
115689,1,118.24,4
115690,1,118.28,4
115691,1,118.32,4
115692,1,118.36,4
115693,1,118.4,4
117089,1,111.84,4
117090,1,111.88,4
117091,2,111.92,4
117092,2,111.96,4
117093,2,112.0,4
117094,2,112.04,4
117095,2,112.08,4
117096,2,112.12,4
117097,2,112.16,4
117098,1,112.2,4
117099,1,112.24,4
117100,1,112.28,4
117101,1,112.32,4
117102,1,112.36,4
117103,1,112.4,4
117104,1,112.44,4
117105,1,112.48,4
117106,1,112.52,4
117107,1,112.56,4
117108,1,112.6,4
117109,1,112.64,4
117110,1,112.68,4
118026,1,79.8,4
118027,1,79.84,4
118028,1,79.88,4
118029,1,79.92,4
118030,1,79.96,4
118031,1,80.0,4
118032,1,80.04,4
118033,1,80.08,4
118034,1,80.12,4
118035,1,80.16,4
118036,1,80.2,4
118914,1,108.2,4
118915,1,108.24,4
118916,1,108.28,4
118917,1,108.32,4
118918,1,108.36,4
118919,1,108.4,4
118920,1,108.44,4
118921,1,108.48,4
118922,1,108.52,4
118923,1,108.56,4
118924,1,108.6,4
118925,1,108.64,4
118926,1,108.68,4
118927,1,108.72,4
118928,1,108.76,4
118929,1,108.8,4
118930,1,108.84,4
118931,1,108.88,4
118932,1,108.92,4
118933,1,108.96,4
118934,1,109.0,4
120062,1,81.76,4
120063,1,81.8,4
120064,1,81.84,4
120065,1,81.88,4
120066,1,81.92,4
120067,1,81.96,4
120068,1,82.0,4
120069,1,82.04,4
120070,1,82.08,4
123668,1,51.56,4
123669,1,51.6,4
123670,1,51.64,4
123671,1,51.68,4
123678,1,51.96,4
123679,1,52.0,4
123680,1,52.04,4
123681,1,52.08,4
123682,1,52.12,4
123683,1,52.16,4
123684,1,52.2,4
123685,1,52.24,4
123686,1,52.28,4
123687,1,52.32,4
123688,1,52.36,4
123689,1,52.4,4
123690,1,52.44,4
123691,1,52.48,4
123692,1,52.52,4
125710,1,156.84,4
125711,1,156.88,4
125712,1,156.92,4
125713,1,156.96,4
125714,1,157.0,4
125715,1,157.04,4
125716,1,157.08,4
125717,1,157.12,4
125718,1,157.16,4
125719,1,157.2,4
125720,1,157.24,4
125721,1,157.28,4
125722,1,157.32,4
126606,3,115.44,4
126607,3,115.48,4
126608,3,115.52,4
126609,2,115.56,4
126610,1,115.6,4
126611,1,115.64,4
126612,1,115.68,4
126613,1,115.72,4
126614,1,115.76,4
126615,1,115.8,4
126616,1,115.84,4
126617,1,115.88,4
126618,1,115.92,4
126619,1,115.96,4
126620,1,116.0,4
126621,1,116.04,4
126622,1,116.08,4
126623,1,116.12,4
126624,1,116.16,4
127524,1,105.24,4
127525,1,105.28,4
127526,1,105.32,4
127527,1,105.36,4
127528,1,105.4,4
127529,1,105.44,4
127530,1,105.48,4
127531,1,105.52,4
127532,1,105.56,4
127533,1,105.6,4
127534,1,105.64,4
127714,1,55.12,4
127715,1,55.16,4
127716,1,55.2,4
127717,1,55.24,4
127718,1,55.28,4
127719,1,55.32,4
127720,1,55.36,4
127721,1,55.4,4
127722,1,55.44,4
127723,1,55.48,4
127724,1,55.52,4
127725,1,55.56,4
127726,1,55.6,4
127727,1,55.64,4
128727,1,152.52,4
128728,1,152.56,4
128729,1,152.6,4
128730,1,152.64,4
128731,1,152.68,4
128732,1,152.72,4
129628,1,107.0,4
129629,1,107.04,4
129630,1,107.08,4
129631,1,107.12,4
129632,1,107.16,4
129633,1,107.2,4
130972,1,145.88,4
130973,1,145.92,4
131419,1,57.64,4
131420,1,57.68,4
