,link_id,geometry,length,lon_one_axis_trajectory,lat_one_axis_trajectory,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9
0,0,"LINESTRING (37.98029999999999 23.735400000000002, 37.9796 23.735999999999997)",108.82956335056285,23.735400000000002,37.98029999999999,"LINESTRING (37.98029999999999 23.735400000000002, 37.980199999999996 23.735485714285716)","LINESTRING (37.980199999999996 23.735485714285716, 37.98009999999999 23.73557142857143)","LINESTRING (37.98009999999999 23.73557142857143, 37.98 23.735657142857143)","LINESTRING (37.98 23.735657142857143, 37.979899999999994 23.735742857142856)","LINESTRING (37.979899999999994 23.735742857142856, 37.9798 23.73582857142857)","LINESTRING (37.9798 23.73582857142857, 37.979699999999994 23.735914285714284)","LINESTRING (37.979699999999994 23.735914285714284, 37.9796 23.735999999999997)",,
1,1,"LINESTRING (37.9796 23.735999999999997, 37.979 23.73646)",88.8452398067382,23.735999999999997,37.9796,"LINESTRING (37.9796 23.735999999999997, 37.979479999999995 23.736092)","LINESTRING (37.979479999999995 23.736092, 37.97936 23.736183999999998)","LINESTRING (37.97936 23.736183999999998, 37.97924 23.736276)","LINESTRING (37.97924 23.736276, 37.97912 23.736368)","LINESTRING (37.97912 23.736368, 37.979 23.73646)",,,,
2,2,"LINESTRING (37.979 23.73646, 37.9781 23.737099999999995)",129.39891201444635,23.73646,37.979,"LINESTRING (37.979 23.73646, 37.9788875 23.73654)","LINESTRING (37.9788875 23.73654, 37.978775 23.73662)","LINESTRING (37.978775 23.73662, 37.9786625 23.7367)","LINESTRING (37.9786625 23.7367, 37.97855 23.736779999999996)","LINESTRING (37.97855 23.736779999999996, 37.9784375 23.736859999999997)","LINESTRING (37.9784375 23.736859999999997, 37.978325 23.736939999999997)","LINESTRING (37.978325 23.736939999999997, 37.9782125 23.737019999999994)","LINESTRING (37.9782125 23.737019999999994, 37.9781 23.737099999999995)",
3,3,"LINESTRING (37.9781 23.737099999999995, 37.977500000000006 23.737699999999997)",100.7979869485099,23.737099999999995,37.9781,"LINESTRING (37.9781 23.737099999999995, 37.978 23.737199999999994)","LINESTRING (37.978 23.737199999999994, 37.9779 23.737299999999994)","LINESTRING (37.9779 23.737299999999994, 37.9778 23.737399999999994)","LINESTRING (37.9778 23.737399999999994, 37.977700000000006 23.737499999999997)","LINESTRING (37.977700000000006 23.737499999999997, 37.9776 23.737599999999997)","LINESTRING (37.9776 23.737599999999997, 37.977500000000006 23.737699999999997)",,,
4,4,"LINESTRING (37.977500000000006 23.737699999999997, 37.97619999999999 23.737699999999997)",147.9142463281535,23.737699999999997,37.977500000000006,"LINESTRING (37.977500000000006 23.737699999999997, 37.97735555555556 23.737699999999997)","LINESTRING (37.97735555555556 23.737699999999997, 37.97721111111112 23.737699999999997)","LINESTRING (37.97721111111112 23.737699999999997, 37.977066666666666 23.737699999999997)","LINESTRING (37.977066666666666 23.737699999999997, 37.97692222222222 23.737699999999997)","LINESTRING (37.97692222222222 23.737699999999997, 37.97677777777778 23.737699999999997)","LINESTRING (37.97677777777778 23.737699999999997, 37.97663333333333 23.737699999999997)","LINESTRING (37.97663333333333 23.737699999999997, 37.97648888888888 23.737699999999997)","LINESTRING (37.97648888888888 23.737699999999997, 37.976344444444436 23.737699999999997)","LINESTRING (37.976344444444436 23.737699999999997, 37.97619999999999 23.737699999999997)"
