lat,lon,speed,lon_acc,lat_acc,time,veh_id,link_id,link_distance,one_axis_trajectory
37.977379,23.737697,1.4367,0.2183,0.0989,2.000000,1,4,2.999999999531156e-06,2642468.342645018
37.977378,23.737697,1.4694,0.2359,0.1020,2.040000,1,4,2.999999999531156e-06,2642468.342645018
37.977378,23.737697,1.5038,0.2422,0.1042,2.080000,1,4,2.999999999531156e-06,2642468.342645018
37.977378,23.737697,1.5384,0.2371,0.1055,2.120000,1,4,2.999999999531156e-06,2642468.342645018
37.977378,23.737698,1.5726,0.2383,0.1053,2.160000,1,4,1.999999998503199e-06,2642468.4539645086
37.977378,23.737698,1.6074,0.2457,0.1033,2.200000,1,4,1.999999998503199e-06,2642468.4539645086
37.977378,23.737698,1.6422,0.2379,0.0995,2.240000,1,4,1.999999998503199e-06,2642468.4539645086
37.977378,23.737698,1.6752,0.2193,0.0940,2.280000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737698,1.7046,0.1895,0.0867,2.320000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737698,1.7296,0.1574,0.0773,2.360000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737698,1.7503,0.1307,0.0657,2.400000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737698,1.7669,0.0993,0.0521,2.440000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737698,1.7787,0.0652,0.0367,2.480000,1,4,1.999999998503199e-06,2642468.4539645086
37.977377,23.737699,1.7857,0.0317,0.0203,2.520000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7876,-0.0060,0.0035,2.560000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7842,-0.0411,-0.0115,2.600000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7765,-0.0660,-0.0241,2.640000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7656,-0.0855,-0.0344,2.680000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7524,-0.0975,-0.0423,2.720000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977376,23.737699,1.7377,-0.1062,-0.0481,2.760000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977375,23.737699,1.7217,-0.1158,-0.0525,2.800000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977375,23.737699,1.7049,-0.1182,-0.0557,2.840000,1,4,1.0000000010279564e-06,2642468.5652839993
37.977375,23.737700,1.6876,-0.1215,-0.0576,2.880000,1,4,0.0,2642468.67660349
37.977375,23.737700,1.6698,-0.1257,-0.0582,2.920000,1,4,0.0,2642468.67660349
37.977375,23.737700,1.6517,-0.1266,-0.0577,2.960000,1,4,0.0,2642468.67660349
37.977375,23.737700,1.6336,-0.1243,-0.0561,3.000000,1,4,0.0,2642468.67660349
37.977375,23.737700,1.6164,-0.1147,-0.0534,3.040000,1,4,0.0,2642468.67660349
37.977374,23.737700,1.6005,-0.1061,-0.0498,3.080000,1,4,0.0,2642468.67660349
37.977374,23.737700,1.5858,-0.0983,-0.0453,3.120000,1,4,0.0,2642468.67660349
37.977374,23.737700,1.5724,-0.0873,-0.0402,3.160000,1,4,0.0,2642468.67660349
37.977374,23.737700,1.5609,-0.0730,-0.0342,3.200000,1,4,0.0,2642468.67660349
37.977374,23.737700,1.5519,-0.0515,-0.0275,3.240000,1,4,0.0,2642468.67660349
37.977374,23.737701,1.5460,-0.0307,-0.0199,3.280000,1,4,1.0000000010279564e-06,2642468.787922981
37.977374,23.737701,1.5430,-0.0108,-0.0118,3.320000,1,4,1.0000000010279564e-06,2642468.787922981
37.977374,23.737701,1.5430,0.0115,-0.0031,3.360000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.5465,0.0368,0.0062,3.400000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.5542,0.0698,0.0164,3.440000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.5670,0.1081,0.0272,3.480000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.5853,0.1467,0.0382,3.520000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.6091,0.1830,0.0491,3.560000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.6377,0.2140,0.0593,3.600000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737701,1.6704,0.2403,0.0685,3.640000,1,4,1.0000000010279564e-06,2642468.787922981
37.977373,23.737702,1.7071,0.2695,0.0768,3.680000,1,4,1.999999998503199e-06,2642468.8992424714
37.977373,23.737702,1.7480,0.2993,0.0843,3.720000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,1.7930,0.3255,0.0908,3.760000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,1.8414,0.3460,0.0960,3.800000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,1.8918,0.3548,0.1000,3.840000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,1.9435,0.3634,0.1029,3.880000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,1.9964,0.3717,0.1045,3.920000,1,4,1.999999998503199e-06,2642468.8992424714
37.977372,23.737702,2.0503,0.3764,0.1050,3.960000,1,4,1.999999998503199e-06,2642468.8992424714
37.977371,23.737702,2.1046,0.3775,0.1043,4.000000,1,4,1.999999998503199e-06,2642468.8992424714
37.977371,23.737703,2.1582,0.3670,0.1026,4.040000,1,4,2.999999999531156e-06,2642469.0105619626
37.977371,23.737703,2.2102,0.3562,0.0999,4.080000,1,4,2.999999999531156e-06,2642469.0105619626
37.977371,23.737703,2.2607,0.3451,0.0960,4.120000,1,4,2.999999999531156e-06,2642469.0105619626
37.977371,23.737703,2.3094,0.3304,0.0911,4.160000,1,4,2.999999999531156e-06,2642469.0105619626
37.977370,23.737703,2.3556,0.3122,0.0853,4.200000,1,4,2.999999999531156e-06,2642469.0105619626
37.977370,23.737703,2.3984,0.2823,0.0788,4.240000,1,4,2.999999999531156e-06,2642469.0105619626
37.977370,23.737703,2.4369,0.2516,0.0714,4.280000,1,4,2.999999999531156e-06,2642469.0105619626
37.977370,23.737704,2.4709,0.2206,0.0630,4.320000,1,4,4.000000000559112e-06,2642469.1218814533
37.977369,23.737704,2.5002,0.1866,0.0537,4.360000,1,4,4.000000000559112e-06,2642469.1218814533
37.977369,23.737704,2.5244,0.1498,0.0434,4.400000,1,4,4.000000000559112e-06,2642469.1218814533
37.977369,23.737704,2.5426,0.1025,0.0323,4.440000,1,4,4.000000000559112e-06,2642469.1218814533
37.977369,23.737704,2.5534,0.0477,0.0204,4.480000,1,4,4.000000000559112e-06,2642469.1218814533
37.977368,23.737704,2.5563,-0.0077,0.0082,4.520000,1,4,4.000000000559112e-06,2642469.1218814533
37.977368,23.737704,2.5513,-0.0607,-0.0041,4.560000,1,4,4.000000000559112e-06,2642469.1218814533
37.977368,23.737705,2.5393,-0.1061,-0.0160,4.600000,1,4,4.9999999980343546e-06,2642469.233200944
37.977368,23.737705,2.5213,-0.1438,-0.0275,4.640000,1,4,4.9999999980343546e-06,2642469.233200944
37.977367,23.737705,2.4977,-0.1844,-0.0385,4.680000,1,4,4.9999999980343546e-06,2642469.233200944
37.977367,23.737705,2.4683,-0.2247,-0.0487,4.720000,1,4,4.9999999980343546e-06,2642469.233200944
37.977367,23.737705,2.4333,-0.2605,-0.0579,4.760000,1,4,4.9999999980343546e-06,2642469.233200944
37.977367,23.737705,2.3937,-0.2895,-0.0663,4.800000,1,4,4.9999999980343546e-06,2642469.233200944
37.977366,23.737705,2.3511,-0.3025,-0.0740,4.840000,1,4,4.9999999980343546e-06,2642469.233200944
37.977366,23.737705,2.3066,-0.3149,-0.0807,4.880000,1,4,4.9999999980343546e-06,2642469.233200944
37.977366,23.737706,2.2605,-0.3264,-0.0864,4.920000,1,4,5.999999999062312e-06,2642469.3445204347
37.977366,23.737706,2.2129,-0.3335,-0.0911,4.960000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,2.1647,-0.3360,-0.0949,5.000000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,2.1173,-0.3228,-0.0978,5.040000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,2.0718,-0.3087,-0.0998,5.080000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,2.0285,-0.2939,-0.1008,5.120000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,1.9875,-0.2746,-0.1008,5.160000,1,4,5.999999999062312e-06,2642469.3445204347
37.977365,23.737706,1.9497,-0.2507,-0.0999,5.200000,1,4,5.999999999062312e-06,2642469.3445204347
37.977364,23.737707,1.9165,-0.2110,-0.0981,5.240000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8890,-0.1702,-0.0953,5.280000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8675,-0.1287,-0.0916,5.320000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8523,-0.0826,-0.0870,5.360000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8440,-0.0325,-0.0815,5.400000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8440,0.0321,-0.0750,5.440000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8540,0.1068,-0.0675,5.480000,1,4,7.000000000090267e-06,2642469.4558399254
37.977364,23.737707,1.8747,0.1818,-0.0593,5.520000,1,4,7.000000000090267e-06,2642469.4558399254
37.977363,23.737707,1.9061,0.2537,-0.0507,5.560000,1,4,7.000000000090267e-06,2642469.4558399254
37.977363,23.737707,1.9471,0.3157,-0.0421,5.600000,1,4,7.000000000090267e-06,2642469.4558399254
37.977363,23.737708,1.9963,0.3671,-0.0334,5.640000,1,4,8.000000001118224e-06,2642469.5671594166
37.977363,23.737708,2.0531,0.4226,-0.0247,5.680000,1,4,8.000000001118224e-06,2642469.5671594166
37.977363,23.737708,2.1179,0.4776,-0.0159,5.720000,1,4,8.000000001118224e-06,2642469.5671594166
37.977363,23.737708,2.1902,0.5257,-0.0071,5.760000,1,4,8.000000001118224e-06,2642469.5671594166
37.977363,23.737708,2.2686,0.5640,0.0011,5.800000,1,4,8.000000001118224e-06,2642469.5671594166
37.977362,23.737708,2.3510,0.5805,0.0088,5.840000,1,4,8.000000001118224e-06,2642469.5671594166
37.977362,23.737708,2.4358,0.5965,0.0161,5.880000,1,4,8.000000001118224e-06,2642469.5671594166
37.977362,23.737709,2.5228,0.6120,0.0230,5.920000,1,4,8.999999998593466e-06,2642469.678478907
37.977362,23.737709,2.6115,0.6206,0.0295,5.960000,1,4,8.999999998593466e-06,2642469.678478907
37.977362,23.737709,2.7010,0.6224,0.0353,6.000000,1,4,8.999999998593466e-06,2642469.678478907
37.977361,23.737709,2.7892,0.6024,0.0404,6.040000,1,4,8.999999998593466e-06,2642469.678478907
37.977361,23.737709,2.8745,0.5818,0.0450,6.080000,1,4,8.999999998593466e-06,2642469.678478907
37.977361,23.737710,2.9568,0.5608,0.0490,6.120000,1,4,9.999999999621423e-06,2642469.789798398
37.977361,23.737710,3.0355,0.5330,0.0525,6.160000,1,4,9.999999999621423e-06,2642469.789798398
37.977360,23.737710,3.1098,0.4984,0.0553,6.200000,1,4,9.999999999621423e-06,2642469.789798398
37.977360,23.737710,3.1775,0.4419,0.0576,6.240000,1,4,9.999999999621423e-06,2642469.789798398
37.977360,23.737711,3.2362,0.3740,0.0594,6.280000,1,4,1.100000000064938e-05,2642469.9011178887
37.977360,23.737711,3.2851,0.3056,0.0606,6.320000,1,4,1.100000000064938e-05,2642469.9011178887
37.977359,23.737711,3.3249,0.2465,0.0612,6.360000,1,4,1.100000000064938e-05,2642469.9011178887
37.977359,23.737711,3.3568,0.1970,0.0613,6.400000,1,4,1.100000000064938e-05,2642469.9011178887
37.977359,23.737712,3.3813,0.1427,0.0610,6.440000,1,4,1.1999999998124624e-05,2642470.0124373795
37.977358,23.737712,3.3969,0.0741,0.0602,6.480000,1,4,1.1999999998124624e-05,2642470.0124373795
37.977358,23.737712,3.4018,-0.0054,0.0590,6.520000,1,4,1.1999999998124624e-05,2642470.0124373795
37.977358,23.737712,3.3956,-0.0805,0.0576,6.560000,1,4,1.1999999998124624e-05,2642470.0124373795
37.977357,23.737713,3.3797,-0.1413,0.0563,6.600000,1,4,1.299999999915258e-05,2642470.12375687
37.977357,23.737713,3.3560,-0.1875,0.0552,6.640000,1,4,1.299999999915258e-05,2642470.12375687
37.977357,23.737713,3.3264,-0.2242,0.0542,6.680000,1,4,1.299999999915258e-05,2642470.12375687
37.977356,23.737713,3.2915,-0.2605,0.0533,6.720000,1,4,1.299999999915258e-05,2642470.12375687
37.977356,23.737714,3.2503,-0.3108,0.0524,6.760000,1,4,1.4000000000180535e-05,2642470.235076361
37.977356,23.737714,3.2013,-0.3705,0.0516,6.800000,1,4,1.4000000000180535e-05,2642470.235076361
37.977355,23.737714,3.1442,-0.4228,0.0508,6.840000,1,4,1.4000000000180535e-05,2642470.235076361
37.977355,23.737714,3.0807,-0.4586,0.0501,6.880000,1,4,1.4000000000180535e-05,2642470.235076361
